date,total,industry,transport,home,commercial,public,income_per_capita
1997.1.1,16225,9237,161,2814,3050,964,12131.8747
1997.2.1,15364,8465,160,2788,2985,965,12131.8747
1997.3.1,16094,9677,140,2555,2793,929,12131.8747
1997.4.1,16266,9651,141,2629,2888,957,12131.8747
1997.5.1,16028,9658,133,2525,2797,916,12131.8747
1997.6.1,16466,9869,139,2545,2968,944,12131.8747
1997.7.1,17202,9905,148,2631,3495,1022,12131.8747
1997.8.1,18298,9995,159,3035,4022,1088,12131.8747
1997.9.1,17597,9701,150,2873,3826,1047,12131.8747
1997.10.1,16868,10084,136,2607,3090,952,12131.8747
1997.11.1,17218,10243,143,2715,3119,997,12131.8747
1997.12.1,17158,9898,153,2797,3269,1042,12131.8747
1998.1.1,15800,8634,143,2806,3250,968,8085.323528
1998.2.1,15415,8426,144,2821,3078,947,8085.323528
1998.3.1,15622,9060,124,2700,2803,936,8085.323528
1998.4.1,15709,9079,128,2605,2923,974,8085.323528
1998.5.1,15627,9064,119,2637,2879,928,8085.323528
1998.6.1,15786,9182,123,2579,2964,938,8085.323528
1998.7.1,16177,9032,128,2632,3378,1007,8085.323528
1998.8.1,16610,8788,139,2831,3783,1069,8085.323528
1998.9.1,17255,9444,140,2925,3695,1051,8085.323528
1998.10.1,16033,8931,123,2832,3175,972,8085.323528
1998.11.1,16462,9531,129,2744,3055,1003,8085.323528
1998.12.1,16976,9657,142,2801,3288,1088,8085.323528
1999.1.1,16858,9244,150,2897,3522,1044,10409.32689
1999.2.1,16035,8419,153,2974,3478,1011,10409.32689
1999.3.1,16826,9540,137,2858,3313,979,10409.32689
1999.4.1,17172,9781,139,2805,3409,1039,10409.32689
1999.5.1,17014,9889,129,2774,3249,974,10409.32689
1999.6.1,17698,10359,138,2707,3464,1030,10409.32689
1999.7.1,18391,10561,147,2755,3848,1080,10409.32689
1999.8.1,19013,10325,159,2964,4415,1151,10409.32689
1999.9.1,19118,10383,149,3134,4313,1137,10409.32689
1999.10.1,18410,10620,133,2949,3678,1029,10409.32689
1999.11.1,18570,10855,142,2856,3668,1049,10409.32689
1999.12.1,19109,10883,154,2908,4054,1110,10409.32689
2000.1.1,19635,10793,166,3065,4477,1134,11947.57913
2000.2.1,18946,9987,174,3192,4485,1108,11947.57913
2000.3.1,19811,11171,162,3055,4324,1099,11947.57913
